customer_id,score_date,personalized_deadline,personalized_window_days,estimated_margin_next_180d,churned_in_personal_window,churn_probability,value_at_risk,risk_rank,value_at_risk_rank
C002845,2026-02-11,2026-02-14,12.0,542.2114285714285,1,0.542620617091712,294.2150999656073,654.0,29.0
C000074,2026-05-06,2026-05-07,15.0,416.052,0,0.697778479142094,290.31213180402654,143.0,30.0
C002741,2026-04-22,2026-04-23,12.0,492.51374999999996,1,0.5847393730662215,287.9921814014937,477.0,31.0
C002393,2026-05-20,2026-06-01,37.0,867.0879310344827,1,0.3297150539772784,285.89194398408114,2024.0,32.0
C003986,2025-12-03,2025-12-08,18.0,417.3399999999999,1,0.6811243994813374,284.2604568795413,178.0,33.0
C001141,2026-06-17,2026-06-19,30.0,376.8,1,0.7333259768309744,276.31722806991115,82.0,34.0
C003009,2026-05-20,2026-05-23,14.0,486.2833333333334,0,0.5661068092209217,275.28830621064725,545.0,35.0
C000766,2026-04-22,2026-04-23,9.0,472.9866666666667,1,0.5810539755466156,274.83078304720857,494.0,36.0
C000350,2026-05-06,2026-05-18,28.0,651.6818181818181,0,0.41394943135879914,269.76331806323196,1407.0,37.0
C000259,2026-01-14,2026-01-17,29.0,452.2807453416149,1,0.5890496527371918,266.4158159831965,463.0,38.0
C000454,2026-06-17,2026-06-20,11.0,589.6210526315789,1,0.4464382057802217,263.22936482708775,1170.0,39.0
C000522,2026-06-17,2026-06-23,27.0,429.1542857142858,0,0.6124113241640424,262.81894438495954,378.0,40.0
C003595,2026-02-11,2026-02-15,12.0,562.1664335664335,1,0.46671644437665916,262.3723190220332,1043.0,41.0
C001047,2026-06-17,2026-06-23,23.0,462.4947368421053,0,0.5555441317740998,256.9362370290381,594.0,42.0
C000051,2026-06-17,2026-06-24,30.0,391.63018867924535,0,0.6510055609085571,254.95343064985616,251.0,43.0
C000150,2026-04-08,2026-04-13,17.0,511.9109717868339,1,0.490807903897098,251.2499510446224,909.0,44.0
C003660,2026-06-03,2026-06-09,22.0,389.4256097560976,1,0.6407063608987809,249.50746526761804,283.0,45.0
C002493,2026-06-17,2026-06-20,17.0,517.2390532544379,1,0.4705215089806673,243.37209984100983,1020.0,46.0
C000482,2026-06-17,2026-06-21,27.0,386.9028571428571,1,0.6285771255246789,243.1982858001426,318.0,47.0
C002334,2026-05-20,2026-05-21,25.0,291.71020408163264,1,0.831610695088441,242.58932558071749,8.0,48.0
C001664,2025-12-31,2026-01-16,41.0,391.61739130434785,1,0.6183642229831342,242.16218388059508,351.0,49.0
C000234,2026-06-03,2026-06-12,35.0,353.10491803278694,0,0.6824606039679482,240.9801956247086,174.0,50.0
C002216,2026-06-17,2026-06-18,16.0,292.1454545454546,1,0.8220432520939831,240.1561995390204,13.0,51.0
C002408,2026-06-03,2026-06-27,47.0,341.21927710843374,1,0.7031177640422034,239.91733516857892,133.0,52.0
C003638,2026-04-22,2026-04-29,18.0,645.3613636363636,1,0.36911911769220707,238.21521713809415,1725.0,53.0
C000794,2025-12-03,2025-12-06,17.0,391.3285714285715,1,0.6023693482996374,235.7243365424567,407.0,54.0
C002313,2026-06-03,2026-06-11,31.0,385.8,1,0.609502251209563,235.14596851664942,392.0,55.0
C001314,2025-11-19,2025-11-20,15.0,297.2444444444445,1,0.7872211093053827,233.99710129041782,27.0,56.0
C002351,2026-06-17,2026-06-21,18.0,401.49,1,0.5683660126298898,228.1932704107745,538.0,57.0
C000764,2026-05-06,2026-05-11,18.0,334.06499999999994,1,0.6782653008648887,226.58469773342898,183.0,58.0
C002478,2026-06-03,2026-06-05,11.0,397.3058823529412,1,0.5668333820246271,225.20623699239624,541.0,59.0
C001697,2026-05-20,2026-05-23,10.0,528.6588235294117,0,0.4258281944413593,225.11783229902258,1316.0,60.0
C000461,2026-06-17,2026-06-18,22.0,351.8400000000001,1,0.6396986328954792,225.07156699794547,286.0,61.0
C002514,2026-03-11,2026-03-13,15.0,375.6034285714286,1,0.5969186755553885,224.20470111692012,429.0,62.0
C001761,2026-06-17,2026-06-20,13.0,372.9130434782609,0,0.5858148750060153,218.45800795333014,474.0,63.0
C003975,2026-06-17,2026-06-29,31.0,549.9642857142858,1,0.39091659364758086,214.9901651992535,1583.0,64.0
C000872,2026-05-20,2026-05-29,31.0,340.99245283018865,0,0.6281690756052901,214.2009138827201,319.0,65.0
C000651,2026-06-03,2026-06-29,60.0,345.9647058823529,1,0.6188833748129158,214.11180474262838,350.0,66.0
C002341,2026-04-08,2026-04-15,19.0,416.47499999999997,1,0.5111606726506195,212.88564114216672,799.0,67.0
C000723,2026-06-03,2026-06-05,11.0,257.3590909090909,1,0.8253730794267136,212.4172653820959,11.0,68.0
C002157,2026-06-17,2026-06-22,16.0,493.1282051282052,0,0.42870791583521667,211.40796506007405,1295.0,69.0
C001261,2026-06-03,2026-06-13,20.0,760.27,0,0.277900913760871,211.2797277049774,2396.0,70.0
C003846,2026-05-20,2026-05-25,37.0,310.8176470588235,1,0.6767840272172845,210.35641890667114,188.0,71.0
C001857,2026-04-08,2026-04-16,28.0,284.4923076923077,1,0.7348465702029533,209.05819655681557,80.0,72.0
C002346,2026-06-17,2026-06-24,18.0,455.5772727272727,0,0.45744376060756947,208.40098088370394,1093.0,73.0
C002946,2026-06-03,2026-06-06,22.0,315.7460526315789,1,0.6571635010582311,207.49678139268488,231.0,74.0
C000060,2026-04-22,2026-05-01,20.0,383.9314285714286,0,0.537188050929759,206.2433758049637,678.0,75.0
C000831,2026-05-20,2026-05-30,36.0,306.94500000000005,1,0.6690712558585229,205.36807662949434,211.0,76.0
C002898,2026-06-03,2026-06-07,29.0,321.89142857142855,1,0.6370222353748972,205.05199737659046,295.0,77.0
C000741,2026-06-17,2026-06-21,25.0,318.5571428571428,1,0.642968364825905,204.82216524646935,277.0,78.0
C000290,2026-06-17,2026-06-24,35.0,298.08000000000004,0,0.6859870294855875,204.47901374906397,165.0,79.0
C002150,2026-03-25,2026-03-26,14.0,241.7625,0,0.8424205822222136,203.6657060094979,4.0,80.0
C003862,2026-06-17,2026-06-20,10.0,473.0705882352941,1,0.4294950550709839,203.1814783465804,1286.0,81.0
C002919,2026-06-17,2026-06-20,10.0,388.675,0,0.5198973218792139,202.07109158140346,749.0,82.0
C003176,2026-06-17,2026-06-21,14.0,394.15015384615384,0,0.5123961022295025,201.961002523928,794.0,83.0
C001849,2026-04-22,2026-05-11,46.0,298.8105882352942,1,0.6665768581608641,199.18022309108204,215.0,84.0
C002286,2026-04-08,2026-04-10,12.0,346.4816326530611,1,0.5746438040773305,199.10352343067925,520.0,85.0
C000034,2025-12-03,2025-12-21,37.0,528.5672727272727,1,0.37283463051357346,197.06818382883992,1698.0,86.0
C002706,2026-02-11,2026-02-26,42.0,380.73750000000007,1,0.5166989138302976,196.726652704463,765.0,87.0
C000882,2026-05-20,2026-05-27,21.0,427.5294117647058,1,0.4588780062861975,196.183844099299,1081.0,88.0
C001350,2026-06-17,2026-06-21,17.0,355.6892307692308,1,0.5514206910701727,196.13440143698736,610.0,89.0
C000236,2026-05-20,2026-05-27,31.0,263.8357894736842,1,0.7397498364155941,195.17248210373702,74.0,90.0
C001941,2026-05-06,2026-05-08,18.0,262.575,1,0.7288073611280186,191.36659284818947,95.0,91.0
C001952,2026-05-20,2026-05-24,16.0,347.97599999999994,0,0.548988140606962,191.03469721584818,622.0,92.0
C003504,2026-06-03,2026-06-09,18.0,344.525,1,0.5528829287420898,190.48199102486848,605.0,93.0
C000799,2026-06-03,2026-06-16,48.0,270.06666666666666,1,0.7031773071175622,189.90475140888296,132.0,94.0
C001189,2026-06-03,2026-06-12,29.0,333.1,0,0.5692601978800418,189.62057191384193,535.0,95.0
C001315,2026-06-03,2026-06-11,28.0,309.62016806722687,1,0.6114843692140671,189.32789316654168,381.0,96.0
C000936,2026-06-17,2026-06-20,14.0,321.3652173913044,1,0.5865159979093766,188.48584117162463,469.0,97.0
C002350,2026-06-03,2026-06-06,30.0,240.86722689075629,1,0.7762250629105526,186.96717834636763,39.0,98.0
C001237,2026-06-17,2026-06-18,19.0,270.0,1,0.6882090972921795,185.81645626888846,155.0,99.0
C001990,2026-06-03,2026-06-08,18.0,425.15172413793107,1,0.43197085026046605,183.65315176556518,1274.0,100.0
